Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
SLSG MO B 2016 Academy Green,MO,30,30,23,4,0,0.7666666666666667,133,31,76,0.7633333333333333,14,0.4666666666666667,10,0.3333333333333333,2025-10-12,0.3661813728873894,30,14,4.433333333333334,1.0333333333333334,4.202982101780966,1.5329937646151057,0.6461643864925285,0.7717190763859205,0.8737393698767656,0.8078203145017492,1.0,0.8078203145017492,4,Active,1
LFA Blue Star 2016B,MO,30,42,15,11,0,0.5,93,64,29,0.5033333333333334,21,0.7,11,0.36666666666666664,2025-10-12,0.6747018233226011,30,21,3.1,2.1333333333333333,3.1503505228335977,2.4014148172466845,0.46268086146502463,0.6554503233465948,0.9576877370979769,0.79823887922111,1.0,0.79823887922111,5,Active,2
SLSG MO B 2016 Academy Navy,MO,30,31,24,3,0,0.8,133,53,66,0.8033333333333333,13,0.43333333333333335,9,0.3,2025-10-12,0.3259702570131783,30,13,4.433333333333334,1.7666666666666666,4.202982101780966,2.111941133036158,0.6461643864925285,0.6973556865333592,0.8558883824684546,0.7822370440862503,1.0,0.7822370440862503,8,Active,3
LFA Blue Star Major 2016B,MO,30,39,26,2,0,0.8666666666666667,178,65,101,0.8666666666666666,0,0.0,7,0.23333333333333334,2025-10-12,0.22509156498079153,30,0,5.933333333333334,2.1666666666666665,5.387192628096756,2.4277306067203686,0.8096857743326441,0.6515050084751982,0.7881271741702414,0.7651144610637133,1.0,0.7651144610637133,15,Active,4
SLSG MO B 2016 Norwich,MO,30,37,19,7,0,0.6333333333333333,144,76,53,0.6333333333333333,20,0.6666666666666666,10,0.3333333333333333,2025-05-25,0.26490589375627854,30,20,4.8,2.533333333333333,4.492455785991493,2.717204290930895,0.6918878326609083,0.6068303593895324,0.8398528844394371,0.7636553690737504,1.0,0.7636553690737504,16,Active,5
SLSG MO B 2016 Manchester United,MO,30,36,24,6,0,0.8,166,72,86,0.795,19,0.6333333333333333,9,0.3,2025-05-19,0.16819618190009036,30,19,5.533333333333333,2.4,5.071403154412545,2.611941133036158,0.7724921067955646,0.6233284849372778,0.7721876897217836,0.7424767321796386,1.0,0.7424767321796386,34,Active,6
LFA Red Star Tango 2016B,MO,30,59,25,3,0,0.8333333333333334,192,65,93,0.83,5,0.16666666666666666,7,0.23333333333333334,2025-10-10,0.13772132647576077,30,5,6.4,2.1666666666666665,5.7556136807283345,2.4277306067203686,0.8469777876204853,0.6515050084751982,0.7342902538636981,0.7402707115373556,1.0,0.7402707115373556,35,Active,7
LFA Blue Star Premier 2016B,MO,30,58,27,0,0,0.9,177,62,101,0.9,3,0.1,11,0.36666666666666664,2025-10-05,0.1452616868674802,30,3,5.9,2.066666666666667,5.360876838623072,2.3487832382993163,0.8067727868929485,0.6632765961587932,0.7344691267379667,0.7346913526531285,1.0,0.7346913526531285,41,Active,8
STLDA 2016B Elite Navy,MO,30,69,16,9,0,0.5333333333333333,131,83,44,0.53,12,0.4,11,0.36666666666666664,2025-09-21,0.15489994015579223,30,12,4.366666666666666,2.7666666666666666,4.150350522833598,2.9014148172466845,0.6375237771049828,0.5773848382923354,0.7655138604862608,0.7022900393712201,1.0,0.7022900393712201,69,Active,9
MO Rush 2016B White,MO,30,73,22,5,0,0.7333333333333333,138,74,57,0.7416666666666667,0,0.0,6,0.2,2025-10-12,0.05256199666487864,30,0,4.6,2.466666666666667,4.334561049149388,2.6645727119835265,0.6673432883613991,0.6151125075633612,0.6774547911179615,0.662964033855729,1.0,0.662964033855729,138,Active,10
