Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Steelers,OK,18,19,13,3,0,0.7222222222222222,120,34,60,0.6,8,0.4444444444444444,13,0.7222222222222222,2025-10-12,0.27731079528739544,18,8,6.666666666666667,1.8888888888888888,5.642819994910643,2.355913963668231,0.8362429909573029,0.662221377190962,0.8228817205409255,0.7934219059542083,0.9486832980505138,0.7527061104861629,246,Active,1
OKC 405 FC 2016 B - Pumas,OK,24,25,18,5,0,0.75,121,43,51,0.6333333333333333,0,0.0,15,0.625,2025-10-11,-0.19374528858083723,24,0,5.041666666666667,1.7916666666666667,4.616041245864897,2.1954300954804378,0.7103785209200788,0.6855640328749949,0.4197007553676593,0.5310089639796103,1.0954451150103321,0.5816911756181615,1129,Active,2
EFC Strikers U10 Academy,OK,20,20,15,4,0,0.75,118,60,37,0.6833333333333333,3,0.15,15,0.75,2025-10-14,-0.14862914178172348,20,3,5.9,3.0,5.168332852417025,3.1162058234062147,0.7844285065220021,0.5423580781275981,0.4398702992894573,0.5292794965035944,1.0,0.5292794965035944,1477,Active,3
LSC Academy 2016 Blue,OK,27,30,14,8,0,0.5185185185185185,60,46,6,0.475,8,0.2962962962962963,17,0.6296296296296297,2025-10-04,-0.2192610526775779,27,8,2.2222222222222223,1.7037037037037037,2.477523424790763,2.0929646587249717,0.3474925556852493,0.7000007005761277,0.40802771912910113,0.4543152827297361,1.161895003862225,0.5278666571819346,1485,Active,4
OKC 405 FC 2016 B - Fuego,OK,18,18,14,3,0,0.7777777777777778,108,28,58,0.7166666666666666,0,0.0,15,0.8333333333333334,2025-10-04,-0.23689409137853923,18,0,6.0,1.5555555555555556,5.181281533372181,2.1251447328990003,0.7859881971865341,0.6955075537718118,0.4264986085418936,0.5521983153168053,0.9486832980505138,0.5238613189526844,1519,Active,5
PC United 2016B,OK,27,28,12,14,0,0.4444444444444444,83,98,-11,0.4083333333333333,8,0.2962962962962963,26,0.9629629629629629,2025-10-11,-0.3472440441938005,27,8,3.074074074074074,3.6296296296296298,3.1346662819336206,3.5786789444392575,0.4598972829808114,0.46596465862314806,0.3880602321356663,0.4180085276021917,1.161895003862225,0.4856820197927916,1760,Active,6
WSA 16 Boys White,OK,10,10,10,0,0,1.0,44,16,28,0.5,0,0.0,5,0.5,2025-08-17,-0.012338058317586678,10,0,4.4,1.6,3.928517770426484,2.402986836409667,0.6001769710227147,0.6552152374880964,0.6120666937972697,0.6183184579805241,0.7071067811865476,0.437217174570838,2010,Active,7
ESC ACADEMY 2016 BOYS RED,OK,11,11,10,1,0,0.9090909090909091,79,8,52,0.45454545454545453,0,0.0,3,0.2727272727272727,2025-09-14,-0.12645120458343448,11,0,7.181818181818182,0.7272727272727273,5.563858940404038,1.8554612134407373,0.8283733619350424,0.7319514669670206,0.4553760128738759,0.5852905735047382,0.7416198487095663,0.43406310657371927,2029,Active,8
ESC ACADEMY 2016 BOYS GOLD,OK,14,14,10,3,0,0.7142857142857143,55,25,26,0.35714285714285715,0,0.0,14,1.0,2025-08-17,-0.22986877853383555,14,0,3.9285714285714284,1.7857142857142858,3.7142418121671237,2.3751710479715458,0.5629564333013419,0.6593636157847812,0.42665093635950146,0.5004545716329255,0.8366600265340756,0.41871033518150286,2118,Active,9
Sonic,OK,16,20,6,10,0,0.375,50,58,-6,0.2,4,0.25,12,0.75,2025-09-14,-0.2497846243467982,16,4,3.125,3.625,3.196388327819863,3.5522401273072504,0.47086427838355877,0.47032298278016427,0.43413513574917123,0.44871853368224734,0.8944271909999159,0.4013460576310136,2222,Active,10
