Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
Blades 2016/17B Red,WY,30,41,29,1,0,0.9666666666666667,171,25,128,0.965,4,0.13333333333333333,11,0.36666666666666664,2025-10-12,0.04366102260315167,30,4,5.7,0.8333333333333334,5.202982101780966,1.3750990277730002,0.7885836174782521,0.7896109081022238,0.62994027261071,0.6936030686825212,1.0,0.6936030686825212,85,Active,1
SC Storm 16/17 Boys Blue,WY,30,40,26,3,0,0.8666666666666667,134,36,92,0.8633333333333334,6,0.2,16,0.5333333333333333,2025-10-12,0.09900799220167264,30,6,4.466666666666667,1.2,4.22929789125465,1.6645727119835265,0.65044956564401,0.7560102182956471,0.6871558214512253,0.6935854496586666,1.0,0.6935854496586666,86,Active,2
Blades 2016/17B Black 1,WY,30,36,8,20,0,0.26666666666666666,65,91,-27,0.25666666666666665,8,0.26666666666666666,11,0.36666666666666664,2025-10-12,0.19745979458537116,30,8,2.1666666666666665,3.033333333333333,2.4135084175704398,3.111941133036158,0.3371997862246777,0.5430588134362537,0.830356146390921,0.6742654077667389,1.0,0.6742654077667389,119,Active,3
SC Storm 16/17 Boys Yellow,WY,30,54,16,9,0,0.5333333333333333,131,77,27,0.5366666666666666,6,0.2,8,0.26666666666666666,2025-10-12,-0.019965216638308823,30,6,4.366666666666666,2.566666666666667,4.150350522833598,2.743520080404579,0.6375237771049828,0.6026658045073703,0.622047274177226,0.6212662808288063,1.0,0.6212662808288063,246,Active,4
SC Storm 16/17 boys White,WY,28,28,17,9,0,0.6071428571428571,157,79,53,0.5900000000000001,6,0.21428571428571427,22,0.7857142857142857,2025-05-26,-0.06816004690460375,28,6,5.607142857142857,2.8214285714285716,5.103147774102131,2.9514934182048336,0.7764519645479546,0.5692743820604785,0.5651179794895974,0.6082160570154451,1.0,0.6082160570154451,316,Active,5
2016 Riverton Rampage Boys-,WY,30,47,12,18,0,0.4,134,116,4,0.4016666666666666,3,0.1,4,0.13333333333333333,2025-09-28,-0.0057944029447836425,30,3,4.466666666666667,3.8666666666666667,4.22929789125465,3.7698358698782632,0.65044956564401,0.434647926180858,0.6466483670125881,0.6050085185725265,1.0,0.6050085185725265,335,Active,6
JCSA U10 Boys Black Fall 2025,WY,26,26,12,12,0,0.46153846153846156,61,60,1,0.525,0,0.0,7,0.2692307692307692,2025-10-12,-0.027111569320445575,26,0,2.3461538461538463,2.3076923076923075,2.579803525519903,2.5662871486874708,0.36423444092889357,0.6303984353406764,0.6411358608765481,0.5836080917798427,1.0,0.5836080917798427,451,Active,7
JHYS United Boys 2016 Black,WY,30,66,14,12,0,0.4666666666666667,86,60,26,0.475,1,0.03333333333333333,14,0.4666666666666667,2025-10-11,-0.11735759787776558,30,0,2.8666666666666667,2.0,2.9661399965178084,2.2961516593519478,0.4301803133434595,0.6710143259169061,0.5429843541421647,0.5460295403373719,1.0,0.5460295403373719,724,Active,8
Blades 2016/17B Black 2,WY,29,29,4,22,0,0.13793103448275862,51,148,-74,0.14083333333333334,9,0.3103448275862069,16,0.5517241379310345,2025-10-12,-0.02087457518216218,29,9,1.7586206896551724,5.103448275862069,2.100359996423695,4.736588190685784,0.28916463208607396,0.28843965730463184,0.7140764920570501,0.5439667531123713,1.0,0.5439667531123713,739,Active,9
LANDER STRIKERS U10 BOYS BLACK,WY,24,24,5,12,0,0.20833333333333334,45,84,-37,0.17222222222222222,2,0.08333333333333333,6,0.25,2025-10-12,-0.06312239781652326,24,2,1.875,3.5,2.2410412458648974,3.4766800954804378,0.31024548384562667,0.4828014379751716,0.6244405215976958,0.5332736973227772,1.0,0.5332736973227772,839,Active,10
U10 GSC Boys Purple,WY,30,50,15,9,0,0.5,150,104,29,0.495,0,0.0,22,0.7333333333333333,2025-10-12,-0.27563767344700213,30,0,5.0,3.466666666666667,4.650350522833598,3.454046396194053,0.7153937374553605,0.4865441983897917,0.4034434270335933,0.4824536433891864,1.0,0.4824536433891864,1305,Active,11
GR SPURS 10U*,WY,30,36,11,19,0,0.36666666666666664,121,177,-52,0.3683333333333333,2,0.06666666666666667,15,0.5,2025-09-28,-0.28939925694958724,30,2,4.033333333333333,5.9,3.8871926280967557,5.375099027773,0.5930741971808283,0.20986886986453168,0.3910275705134184,0.39520515571712306,1.0,0.39520515571712306,2121,Active,12
Rock Springs Avengers U10 boys Rodriguez,WY,15,15,4,11,0,0.26666666666666666,35,89,-36,0.13333333333333333,0,0.0,9,0.6,2025-09-21,-0.4057220709445704,15,0,2.3333333333333335,5.933333333333334,2.6831878203337705,5.0545114371901745,0.38149762881614857,0.24722581060163362,0.30817759379234044,0.3106512441589607,0.8660254037844386,0.2690318691589022,2856,Active,13
JCSA U10 Boys White Fall 2025,WY,13,13,4,9,0,0.3076923076923077,23,59,-28,0.15384615384615385,0,0.0,5,0.38461538461538464,2025-10-12,-0.41128203128605606,13,0,1.7692307692307692,4.538461538461538,2.3673009460798435,4.107322050255905,0.3298643138320409,0.3807530111701872,0.31884258299447715,0.33342901479713194,0.806225774829855,0.2688190658055729,2858,Active,14
Douglas Thunder U10 Boys,WY,7,7,4,3,0,0.5714285714285714,45,23,10,0.2857142857142857,0,0.0,0,0.0,2025-10-11,-0.32515166208468077,7,0,6.428571428571429,3.2857142857142856,4.780887991178448,3.350250870358267,0.7339886513246688,0.5037209705434349,0.34036262915054255,0.4517595018639463,0.5916079783099616,0.2672645255800446,2871,Active,15
Blades 2016/17B White,WY,13,13,0,13,0,0.0,15,97,-56,0.0,0,0.0,5,0.38461538461538464,2025-10-12,-0.4889537066956083,13,0,1.1538461538461537,7.461538461538462,1.9863485651274626,5.9168458597797144,0.2727191528649598,0.1565146744899586,0.275901854912049,0.2513878784182131,0.806225774829855,0.20267538706055724,3090,Active,16
